,address,lat,long,name
105,서울특별시 강서구 공항대로 168 (마곡동),37.559611,126.826298,마곡역
106,서울특별시 강서구 강서로 267 (내발산동),37.549501,126.835984,우장산역
107,서울특별시 강서구 마곡동로 62 (마곡동),37.5605261,126.833887,마곡사이언스타워R
108,서울특별시 강서구 방화대로 375 (방화동),37.574339,126.816415,방화DT
109,서울특별시 강서구 마곡중앙로 161-17 (마곡동),37.56813,126.82614,마곡나루역
110,"서울특별시 강서구 마곡중앙6로 16 (마곡동) 117,118,119,120호",37.560487,126.829667,마곡GMG
111,서울특별시 강서구 양천로 476 (등촌동),37.561640,126.853327,가양역
112,서울특별시 강서구 등촌로 57 (화곡동),37.535149,126.863232,화곡DT
113,서울특별시 강서구 강서로 463 (마곡동),37.566964,126.840731,양천향교역
114,서울특별시 강서구 화곡로 142(화곡동),37.5405115,126.8372413,화곡동
115,서울특별시 강서구 공항대로 329 (등촌동),37.5582043,126.84433919999992,등촌
116,서울특별시 강서구 공항대로 627 (염창동),37.547359,126.874436,염창역
117,서울특별시 강서구 강서로 388 (등촌동) 그랜드마트,37.56033,126.839279,발산역
118,서울특별시 강서구 강서로13길 3 (화곡동),37.532303,126.846077,까치산역
119,"서울특별시 강서구 강서로 179 (화곡동), 1층 일부",37.542514,126.839062,화곡역8번출구
120,"서울특별시 강서구 강서로 231 (화곡동, 우장산역 해링턴 타워), 116/117/118/119/120호",37.546305,126.835923,강서우장산
121,"서울특별시 강서구 공항대로 543 (염창동, 센터스퀘어)",37.55101,126.86638,등촌대로
122,"서울특별시 강서구 화곡로 416 (등촌동) 가양더스카이벨리5차 지식산업센터 101, 102, 114,~117호",37.56007,126.855372,가양역사거리
123,"서울특별시 강서구 강서로 323 (내발산동), 101/102호",37.55467,126.83672,내발산
124,"서울특별시 강서구 마곡중앙5로 22 (마곡동), 104/105/106호",37.56754,126.82553,마곡웰튼
125,서울특별시 강서구 개화동로 517 (방화동),37.566396,126.80608,김포공항DT
126,서울특별시 강서구 강서로56길 17 (등촌동),37.560088,126.840534,강서NC
127,서울특별시 강서구 마곡중앙5로 47 (마곡동),37.567007,126.822246,마곡나루공원
128,서울특별시 강서구 화곡로 350 (화곡동),37.5549266,126.8523133,강서구청사거리
129,서울특별시 관악구 남부순환로 1908 (봉천동),37.477946,126.961193,낙성대역
130,서울특별시 관악구 관악로 158 (봉천동),37.479343,126.95278,관악서울대입구R
131,서울특별시 관악구 남부순환로 1419 (신림동),37.480935,126.908407,신림DT
132,서울특별시 관악구 남부순환로 1817 (봉천동),37.481599,126.952200,서울대역
133,서울특별시 관악구 남부순환로 1948 (봉천동),37.476169,126.965005,낙성대DT
134,서울특별시 관악구 남부순환로 2082-25,37.47601,126.980997,사당
135,서울특별시 관악구 보라매로3길 23 (봉천동) 1층,37.491449,126.925432,보라매대교
136,서울특별시 관악구 남부순환로 1619 (신림동),37.484768,126.930467,신림사거리
137,서울특별시 관악구 신림로 355-1 (신림동),37.48609493,126.9291602,신림
138,서울특별시 관악구 신림로 330 타임스트림 1층,37.48385383,126.9301799,신림타임스트림
139,서울특별시 관악구 남부순환로 1812 (봉천동),37.48118,126.951324,서울대입구역
140,서울특별시 관악구 남부순환로 1730 (봉천동),37.4820375340064,126.942287792538,봉천역
141,서울특별시 광진구 능동로 117 (화양동),37.5415592,127.0711244,건국대
142,서울특별시 광진구 능동로 243 (군자동),37.551946,127.076404,어린이대공원역
