상권_코드_명,상권_코드,기준 년 코드,기준_분기_코드,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액
강서로8길,1000566,2017.6129032258063,2.5483870967741935,2787650.4838709678,6.129032258064516,12844650376.774193,3176578715.2580647,1562612971.1612904,963085133.6129032,1593475488.032258,2210411578.580645,523098869.2580645,378834674.38709676,1907004769.2903225,529548177.1935484
개봉로11길,1000609,2017.6129032258063,2.5483870967741935,2912707.5483870967,6.612903225806452,10275791597.903225,2709171316.483871,1229563976.0,725411297.1290323,1371568439.032258,1730146583.2580645,359466108.2258065,304051895.516129,1411607992.451613,434803989.8064516
개봉로17길,1000610,2017.6129032258063,2.5483870967741935,2716533.193548387,5.645161290322581,11300369620.258064,2983121671.677419,1357057066.8387096,805151056.5806452,1510415337.612903,1909275276.3225806,406760615.41935486,334957844.6451613,1517031015.096774,476599736.0645161
개봉로17다길,1000611,2017.6129032258063,2.5483870967741935,2865370.6129032257,6.612903225806452,11728256861.741936,3126581646.806452,1406410025.8387096,837164262.9354838,1579462514.7419355,1968179040.8387096,420924496.67741936,349039323.6451613,1546569306.8064516,493926243.4516129
개봉로1길,1000612,2017.6129032258063,2.5483870967741935,3108076.7419354836,6.612903225806452,5129854157.354838,1381908008.7741935,608217103.0967742,349395315.41935486,685970655.8064516,833693337.7096775,173619988.12903225,151822432.80645162,731162498.1935484,214064817.41935483
개봉로20길,1000613,2017.6129032258063,2.5483870967741935,3745893.0,7.612903225806452,9080597613.870968,2449714628.548387,1087642565.935484,633063214.032258,1213095767.064516,1497514891.967742,321714339.0,266471716.29032257,1226013522.032258,385366969.0
개봉로23가길,1000614,2017.6129032258063,2.5483870967741935,3753150.5483870967,7.612903225806452,7559805180.870968,2058165652.1290324,906115283.2580645,524007806.16129035,1012529685.6129032,1226208692.903226,270190881.3548387,221804715.61290324,1021104975.0967742,319677488.7419355
개봉로2길,1000615,2017.6129032258063,2.5483870967741935,3623028.2258064514,7.612903225806452,7991050350.645162,2141599627.580645,953070147.3548387,559116327.1290323,1068887258.1290323,1324497329.612903,277518504.516129,234898183.7419355,1092518599.483871,338944373.0967742
개봉로3길,1000616,2017.6129032258063,2.5483870967741935,3071711.0322580645,6.612903225806452,7159311314.580646,1903506676.387097,851766752.6774193,495477237.0967742,954134580.8064516,1183766417.516129,245868524.06451613,211463878.61290324,1013204898.2903225,300122349.12903225
개운사길,1000291,2017.6129032258063,2.5483870967741935,3288478.580645161,6.645161290322581,1558801097.2580645,335927572.0967742,231467855.5483871,98728963.12903225,183872770.03225806,167662006.70967743,60405726.12903226,68808228.64516129,318975208.8064516,92952766.16129032
개포로17길,1000889,2017.6129032258063,2.5483870967741935,3411029.870967742,7.0,7229725102.709678,1762586850.1935484,902247280.6451613,547857314.3225807,856339487.032258,1254754592.580645,301076332.0645161,217660418.12903225,1075247537.1612904,311955290.58064514
개포로20길,1000890,2017.6129032258063,2.5483870967741935,3394200.8387096776,7.0,6654112386.096774,1627782957.387097,820279248.1290323,493383009.516129,780069609.4193548,1139298245.1612904,262069127.41935483,200861690.93548387,1044517739.6129032,285850758.516129
개포로28길,1000891,2017.6129032258063,2.5483870967741935,3446842.7419354836,7.0,5314873441.548388,1256518571.451613,659554233.1612903,390319450.16129035,618343459.1290323,944401836.7096775,210846046.19354838,154600542.0967742,848174437.8709677,232114864.77419356
개포로82길,1000892,2017.6129032258063,2.5483870967741935,4799917.741935484,8.483870967741936,3212804809.419355,719377174.032258,403237352.2258065,228391035.70967743,370497172.4516129,579273356.7096775,136149751.4516129,86934066.51612903,550052710.8064516,138892189.51612905
개화동로23길,1000567,2017.6129032258063,2.5483870967741935,2949843.935483871,6.612903225806452,9748786731.483871,2648624858.322581,1171569053.1935484,702405010.0,1319694022.548387,1582633946.387097,359684903.8064516,294154953.5483871,1261977999.967742,408041983.7096774
개화동로25길,1000568,2017.6129032258063,2.5483870967741935,2907121.419354839,6.612903225806452,6348183390.129032,1726155980.1290324,769280066.3870968,467779589.7741935,856133545.0967742,1037536542.548387,237392677.5483871,194272294.67741936,789756972.7096775,269875721.2580645
거마로20길,1000940,2017.6129032258063,2.5483870967741935,2838092.064516129,6.258064516129032,7861262700.548388,2104066921.387097,950282642.2258065,562331993.032258,1055383787.9032258,1296747477.6451614,301293797.87096775,232667740.0,1030185419.1935484,328302921.2903226
겸재로29길,1000222,2017.6129032258063,2.5483870967741935,2750700.8387096776,5.967741935483871,8645657569.064516,2413208397.193548,1036852864.7096775,639066312.6129032,1187718415.7096775,1377303357.548387,311095921.7096774,272128006.2258065,1044431541.516129,363852751.83870965
겸재로36길,1000223,2017.6129032258063,2.5483870967741935,2708749.0967741935,5.67741935483871,9481384338.032259,2637790363.064516,1133277567.096774,693992775.967742,1293757504.8709676,1506972775.096774,335942316.0645161,297842441.7419355,1184011993.0,397796601.12903225
겸재로54길,1000224,2017.6129032258063,2.5483870967741935,2548516.9677419355,5.612903225806452,12222178288.870968,3438170651.451613,1458218160.2580645,899618396.7419355,1681191213.1935484,1922910267.903226,426020581.8064516,387988617.7096774,1493097604.387097,514962795.41935486
경인로15길,1000617,2017.6129032258063,2.5483870967741935,3017571.709677419,6.612903225806452,7548812975.903226,2037595674.7096775,901302273.483871,550780813.483871,1022619464.1935484,1214284337.2258065,288836419.7741935,225939300.87096775,1000504193.516129,306950498.6451613
경인로31길,1000618,2017.6129032258063,2.5483870967741935,3165362.129032258,6.612903225806452,6117617981.193548,1744266881.064516,716470797.6451613,417741926.5483871,861131997.2258065,946556419.1935484,210988521.4516129,184837188.77419356,788014310.967742,247609938.32258064
경인로35길,1000619,2017.6129032258063,2.5483870967741935,3154256.0322580645,6.612903225806452,7955344162.935484,2279326788.322581,934411600.3548387,545040126.2903225,1125739172.7419355,1229560238.1612904,275574528.0,240359971.58064517,1002683767.3225807,322647970.16129035
경인로47길,1000620,2017.6129032258063,2.5483870967741935,3226188.064516129,6.709677419354839,4654852742.935484,1316967670.2903225,553384045.1612903,319102062.41935486,639888119.451613,723366149.9354838,161632704.93548387,141026716.6451613,606513296.4193548,192971977.67741936
경인로77길,1000684,2017.6129032258063,2.5483870967741935,4073209.709677419,8.0,3738673794.677419,1010610089.6129032,441437982.1935484,267995420.7419355,510061011.41935486,611667386.7741935,134680956.41935483,111461564.32258065,497803398.3548387,152955984.83870968
경인로80길,1000685,2017.6129032258063,2.5483870967741935,3875715.419354839,7.935483870967742,2711356248.322581,739047517.6129032,325801759.12903225,203689034.06451613,362968342.12903225,438861244.7419355,101861704.29032259,85227779.12903225,341232815.32258064,112666051.90322581
경인로90길,1000686,2017.6129032258063,2.5483870967741935,4195363.419354838,8.0,3039084161.709677,799829339.7096775,365315827.0,216833738.41935483,388599663.58064514,495081927.0967742,110035128.48387097,91463467.12903225,442747825.1935484,129177245.09677419
경희대로3길,1000168,2017.6129032258063,2.5483870967741935,3726397.5483870967,7.612903225806452,3772769046.7419353,908103378.5806452,514405192.58064514,252781822.19354838,461166364.12903225,479775913.58064514,135458359.51612905,148409087.38709676,673520760.1612903,199148168.61290324
경희대로4길,1000169,2017.6129032258063,2.5483870967741935,3475889.5483870967,7.161290322580645,4648140851.419354,1079428904.6451614,644481700.1290323,312614441.61290324,558838076.7096775,581436809.6129032,175424580.96774194,184953968.93548387,861400787.3870968,249561581.41935483
